rain_true,rain_pred,wind_spd_true,wind_spd_pred,wind_dir_sin_true,wind_dir_sin_pred,wind_dir_cos_true,wind_dir_cos_pred,pressure_true,pressure_pred
0.0,0.27060458,-0.42240974,0.022799049,0.80476433,0.24268484,-0.5935945,-0.09707746,-0.11304295,-0.19190344
0.0,0.29106277,0.6024152,0.0066469125,0.9057538,0.2551129,-0.42380425,-0.094338685,-0.1831253,-0.20183271
0.0,0.2712784,-0.3477867,0.002389796,0.70815504,0.24678266,-0.706057,-0.13321611,-0.059872765,-0.19689271
0.0,0.28605455,-0.25929505,-0.013174836,0.37497067,0.21749988,0.9270367,-0.118839264,0.027121775,-0.20007041
0.0,0.2797559,-0.17875217,-0.013044301,0.6155067,0.24185088,-0.7881316,-0.12257302,0.04942275,-0.19598919
0.49905473,0.24053186,0.62321144,-0.00259595,0.09867467,0.22804981,0.99511975,-0.06984538,-0.7126279,-0.18201482
1.2722788,0.25581658,0.90421,0.01644202,0.40380478,0.25039056,0.91484517,-0.07283512,-0.24148242,-0.1834034
0.60727257,0.2521785,0.8901706,-0.019072112,0.5743863,0.22938108,0.8185844,-0.07084204,-0.5402913,-0.18420982
0.2166677,0.2807407,-1.491191,0.0015111752,0.82235926,0.24741781,0.5689686,-0.10508388,-0.6330767,-0.20081085
0.8500388,0.26992944,1.4496621,0.062398847,-0.862602,0.27672154,-0.5058832,-0.09722632,-0.20268983,-0.20209631
0.013286622,0.27591094,1.3265642,0.05863111,-0.8405193,0.26947016,-0.54178154,-0.12736616,0.13105091,-0.20270076
0.19663095,0.223358,0.7991167,0.045580134,-0.66718274,0.21096912,-0.744894,-0.010651782,-0.11672146,-0.1808576
0.24158326,0.22551829,0.84441274,0.07467673,-0.6023899,0.22893798,-0.79820204,-0.06863183,0.11293314,-0.17339769
0.0021434685,0.2268771,0.5701538,0.1445014,-0.60903835,0.22864133,-0.79314077,0.04477424,-0.4708146,-0.1945256
0.0,0.28184295,-0.048039164,0.24436249,0.27083147,0.29416955,0.96262676,0.05383882,-0.2622862,-0.21546185
1.8474866,0.27330852,1.3950899,0.29104355,-0.9569657,0.31045353,-0.29020116,0.067625016,-0.18055709,-0.21399185
0.0,0.27007702,-0.1719121,0.15627642,0.5375204,0.25886092,-0.84325075,0.0810705,-0.040616658,-0.22717479
0.0,0.30429018,0.042835675,0.25487816,0.8162888,0.23442072,-0.57764393,0.019200757,0.121781744,-0.19722387
0.0,0.3289859,-0.09799333,0.25469846,0.71941555,0.23619726,-0.6945799,-0.007960439,0.041976005,-0.22348017
0.0,0.31870696,-0.2629873,0.24631153,0.7883464,0.19251963,-0.6152316,-0.032059684,0.22643986,-0.2191402
0.0,0.31512532,-0.2745845,0.197368,0.34824485,0.116242655,0.9374036,-0.07192798,-0.12778503,-0.22452903
0.0,0.30085754,-0.20898324,0.20172517,0.90010977,0.111252435,0.43566316,-0.06903699,0.01060212,-0.2222201
0.0,0.30553028,-0.20155884,0.17446752,0.6396738,0.11253467,-0.7686465,0.009825677,0.09549946,-0.23635283
0.0,0.4367002,0.38679975,0.1979551,0.7274884,0.0948812,-0.68612,-0.035455436,0.16962482,-0.27023926
